time_ms,cpu_usage,queue_length,active_workers
11053,110,20,8
11069,110,21,8
11080,110,22,8
11091,110,22,8
11179,110,23,8
11191,170,20,8
11202,170,17,8
11213,170,16,8
11224,170,17,8
11235,170,17,8
11246,170,17,8
11256,170,18,8
11266,170,18,8
11278,170,19,8
11289,170,19,8
11301,170,20,8
11368,170,21,8
11398,110,20,8
11411,170,15,8
11437,170,16,8
11448,170,17,8
11459,170,17,8
11470,170,18,8
11480,170,18,8
11490,170,19,8
11500,170,19,8
11516,170,20,8
11527,170,20,8
11538,170,21,8
11551,170,21,8
11563,170,22,8
11576,170,23,8
11590,170,23,8
11603,140,21,8
11614,170,16,8
11624,170,17,8
11638,170,17,8
11648,170,18,8
11659,170,18,8
11671,170,19,8
11683,170,19,8
11743,170,20,8
11754,170,21,8
11766,170,21,8
11776,170,22,8
11788,170,22,8
11810,170,21,8
11823,140,16,8
11839,140,16,8
11850,140,17,8
11861,140,17,8
11871,140,18,8
11882,140,18,8
11892,140,19,8
11903,140,19,8
11915,140,20,8
11928,140,20,8
11939,140,21,8
11950,140,21,8
11962,140,22,8
11975,140,22,8
11985,140,23,8
11997,170,21,8
12009,170,22,8
12019,110,16,8
12031,110,17,8
12043,110,17,8
12055,110,18,8
12086,110,18,8
12103,110,19,8
12115,110,20,8
12126,110,20,8
12138,110,21,8
12150,110,21,8
12161,110,22,8
12172,110,22,8
12185,110,23,8
12198,110,24,8
12209,140,22,8
12222,170,17,8
12234,170,17,8
12244,170,18,8
12254,170,18,8
12265,170,18,8
12278,170,19,8
12289,170,19,8
12300,170,20,8
12312,170,20,8
12323,170,21,8
12335,170,21,8
12349,170,22,8
12366,170,22,8
12398,170,23,8
12428,110,22,8
12448,170,17,8
12459,170,18,8
12470,170,18,8
12489,170,19,8
12501,170,19,8
12514,170,20,8
12525,170,20,8
12536,170,21,8
12549,170,21,8
12559,170,22,8
12571,170,22,8
12585,170,23,8
12601,170,23,8
12612,170,22,8
12623,170,22,8
12634,170,17,8
12671,170,18,8
12682,170,18,8
12692,170,19,8
12703,170,19,8
12714,170,19,8
12726,170,20,8
12738,170,20,8
12749,170,21,8
12760,170,21,8
12770,170,22,8
12781,170,22,8
12793,170,23,8
12804,170,23,8
12817,170,22,8
12828,170,22,8
12839,140,16,8
12852,140,17,8
12866,140,18,8
12878,140,18,8
12889,140,19,8
12903,140,19,8
12918,140,20,8
12928,140,20,8
12939,140,21,8
12954,140,21,8
12964,140,22,8
12974,140,22,8
12985,140,23,8
12996,140,23,8
13009,140,24,8
13064,170,22,8
13075,110,17,8
13085,110,17,8
13096,110,18,8
13108,110,18,8
13119,110,19,8
13129,110,19,8
13142,110,20,8
13152,110,20,8
13162,110,21,8
13175,110,21,8
13185,110,22,8
13196,110,22,8
13208,110,23,8
13221,110,22,8
13231,110,23,8
13246,110,23,8
13258,110,24,8
13269,140,23,8
13280,170,18,8
13290,170,18,8
13305,170,19,8
13315,170,19,8
13338,170,20,8
13450,170,21,8
13461,140,20,8
13472,110,19,8
13486,170,14,8
13496,170,15,8
13507,170,15,8
13517,170,16,8
13528,170,16,8
13538,170,17,8
13549,170,17,8
13559,170,18,8
13572,170,18,8
13585,170,19,8
13596,170,19,8
13607,170,20,8
13619,170,21,8
13632,170,21,8
13642,170,22,8
13655,170,21,8
13667,170,22,8
13678,110,19,8
13688,170,16,8
13700,170,16,8
13712,170,17,8
13725,170,17,8
13736,170,18,8
13746,170,18,8
13758,170,19,8
13769,170,19,8
13782,170,20,8
13793,170,20,8
13811,170,21,8
13822,170,22,8
13832,170,22,8
13844,170,23,8
13857,170,23,8
13867,170,23,8
13880,160,22,7
13890,140,17,8
13901,140,18,8
13911,140,18,8
13922,140,18,8
13933,140,19,8
13944,140,19,8
13956,140,20,8
13967,140,20,8
13979,140,21,8
13992,140,22,8
14003,140,22,8
14015,140,22,8
14028,140,23,8
14038,140,24,8
14051,140,24,8
14062,170,23,8
14074,170,24,8
14087,170,22,8
14101,110,18,8
14112,110,19,8
14123,110,19,8
14135,110,20,8
14146,110,21,8
14158,110,21,8
14169,110,22,8
14181,110,22,8
14192,110,23,8
14202,110,23,8
14213,110,23,8
14226,110,24,8
14236,110,24,8
14248,110,25,8
14267,110,25,8
14278,110,25,8
14290,170,23,8
14302,170,19,8
14314,170,20,8
14325,170,20,8
14338,170,21,8
14354,170,22,8
14365,170,22,8
14376,170,23,8
14386,170,23,8
14399,170,23,8
14416,170,24,8
14431,170,25,8
14444,170,25,8
14455,170,26,8
14466,170,26,8
14480,140,26,8
14492,140,23,8
14503,170,20,8
14515,170,21,8
