time_ms,cpu_usage,queue_length,active_workers
10159,90,171,6
10171,90,171,6
10197,90,172,6
10209,90,173,6
10220,90,173,6
10232,90,174,6
10243,90,174,6
10256,90,175,6
10268,90,176,6
10281,90,176,6
10291,90,177,6
10304,70,177,4
10314,100,174,4
10325,100,174,4
10338,100,174,4
10348,100,175,4
10361,100,175,4
10372,100,176,4
10383,100,176,4
10396,100,177,4
10408,100,177,4
10420,100,178,4
10433,100,178,4
10445,100,179,4
10456,100,179,4
10467,100,180,4
10479,100,180,4
10491,100,181,4
10502,100,181,4
10515,70,177,7
10525,90,176,6
10538,90,177,6
10551,90,177,6
10564,90,178,6
10575,90,178,6
10588,90,179,6
10600,90,180,6
10613,90,180,6
10625,90,181,6
10638,90,181,6
10650,90,182,6
10663,90,182,6
10675,90,183,6
10688,90,183,6
10701,90,184,6
10712,70,184,4
10722,100,181,4
10735,100,181,4
10746,100,182,4
10759,100,182,4
10771,100,183,4
10784,100,183,4
10796,100,184,4
10808,100,184,4
10821,100,185,4
10831,100,185,4
10842,100,186,4
10854,100,186,4
10867,100,187,4
10877,100,187,4
10889,100,188,4
10902,100,188,4
10915,100,189,4
10925,90,184,6
10937,90,184,6
10950,90,185,6
10962,90,185,6
10973,90,185,6
10985,90,186,6
10998,90,187,6
11011,90,187,6
11022,90,187,6
11035,90,188,6
11047,90,188,6
11092,90,190,6
11108,90,190,6
11118,90,191,6
11129,100,187,4
11141,100,188,4
11152,100,188,4
11164,100,189,4
11175,100,189,4
11188,100,189,4
11201,100,190,4
11214,100,190,4
11225,100,191,4
11238,100,191,4
11251,100,192,4
11263,100,193,4
11275,100,193,4
11288,100,194,4
11301,100,194,4
11313,100,195,4
11326,100,195,4
11339,90,190,6
11351,90,190,6
11362,90,191,6
11372,90,191,6
11385,90,192,6
11398,90,192,6
11410,90,193,6
11421,90,193,6
11432,90,194,6
11442,90,194,6
11455,90,195,6
11466,90,195,6
11478,90,196,6
11489,90,196,6
11501,90,197,6
11512,90,197,6
11522,90,198,6
11535,90,197,3
11548,100,195,4
11563,100,195,4
11575,100,196,4
11588,100,197,4
11599,100,197,4
11611,100,197,4
11622,100,198,4
11632,100,198,4
11717,100,199,4
11731,100,200,4
11741,100,197,7
11754,90,195,6
11766,90,196,6
11777,90,196,6
11789,90,197,6
11801,90,197,6
11814,90,198,6
11825,90,198,6
11838,90,199,6
11851,90,199,6
11864,90,200,6
11874,90,200,6
11885,90,201,6
11898,90,201,6
11911,90,202,6
11922,90,202,6
11935,80,203,5
11947,80,202,2
11960,100,200,4
11972,100,200,4
11985,100,201,4
11996,100,201,4
12007,100,202,4
12020,100,202,4
12032,100,203,4
12044,100,203,4
12056,100,204,4
12068,100,204,4
12081,100,205,4
